album,artist,Archer,Dylan,Rachel,Trent,Archer Z,Dylan Z,Rachel Z,Trent Z,Average Z,Stdev Z
BEFORE I FORGET,The Kid LAROI,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
locket,Madison Beer,3,3,3,3,0.153545267,0.25328851,0.415036436,0.274562667,0.27410822,0.107749485
Don't Be Dumb,A$AP Rocky,3,4,3,4,0.153545267,1.057852012,0.415036436,1.154778276,0.695302998,0.488060824
It Could Be Worse,Samm Henshaw,3,4,4,3,0.153545267,1.057852012,1.374808193,0.274562667,0.715192035,0.595009991
IDENTITY,Dina Ayada,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
THE CORE -核,XG,4,3,3,4,1.172527491,0.25328851,0.415036436,1.154778276,0.748907678,0.483491832
Vacancy,Ari Lennox,,3,3,3,,0.25328851,0.415036436,0.274562667,0.314295871,0.087889951
e.t.d.s A Mixtape by .idk.,IDK,3,5,3,5,0.153545267,1.862415514,0.415036436,2.034993885,1.116497775,0.969424902
Honey Water,Girlfriend,,2,2,2,,-0.551274992,-0.544735322,-0.605652942,-0.567221085,0.033443199
OCTANE,Don Toliver,,4,3,3,,1.057852012,0.415036436,0.274562667,0.582483705,0.417629609
BE MORE GRATEFUL,DaBaby,,0,1,1,,-2.160401996,-1.504507079,-1.485868551,-1.716925875,0.384174636
BACKWARD,Jordan Ward,,3,3,2,,0.25328851,0.415036436,-0.605652942,0.020890668,0.548596636
My Ghosts Go Ghost,"By Storm, Injury Reserve",,2,2,2,,-0.551274992,-0.544735322,-0.605652942,-0.567221085,0.033443199
Piss In The Wind,Joji,3,3,2,2,0.153545267,0.25328851,-0.544735322,-0.605652942,-0.185888622,0.452056396
The Fall Off,J. Cole,3,5,3,4,0.153545267,1.862415514,0.415036436,1.154778276,0.896443873,0.771035956
I am,Lexa Gates,,5,4,2,,1.862415514,1.374808193,-0.605652942,0.877190255,1.307118275
ACT II,Sasha Keable,2,2,2,2,-0.865436957,-0.551274992,-0.544735322,-0.605652942,-0.641775053,0.151587626
TYPHOON,Luke Chiang,3,4,3,3,0.153545267,1.057852012,0.415036436,0.274562667,0.475249095,0.402831693
Icon,Brent Faiyaz,,3,3,3,,0.25328851,0.415036436,0.274562667,0.314295871,0.087889951
Wuthering Heights,Charli xcx,,3,3,3,,0.25328851,0.415036436,0.274562667,0.314295871,0.087889951
the apple tree under the sea,hemlocke springs,4,4,4,3,1.172527491,1.057852012,1.374808193,0.274562667,0.969937591,0.481746165
Lebron Flocka James 2K26,Waka Flocka Flame,,0,0,0,,-2.160401996,-2.464278836,-2.36608416,-2.330254997,0.155074434
Before Artistry,A Boogie Wit da Hoodie,,3,2,3,,0.25328851,-0.544735322,0.274562667,-0.005628048,0.467001752
To Whom This May Concern,Jill Scott,4,3,,3,1.172527491,0.25328851,,0.274562667,0.566792889,0.524689387
REVIVE+,IVE,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
My Lover,Claire Rosinkranz,4,4,3,3,1.172527491,1.057852012,0.415036436,0.274562667,0.729994651,0.450903808
Ca$ino,Baby Keem,3,4,,5,0.153545267,1.057852012,,2.034993885,1.082130388,0.940959248
petal rock black,WILLOW,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Spiral Staircases,"Larry June, Curren$y, The Alchemist",2,2,,2,-0.865436957,-0.551274992,,-0.605652942,-0.674121631,0.167899988
The Romantic,Bruno Mars,3,2,3,3,0.153545267,-0.551274992,0.415036436,0.274562667,0.072967344,0.429660034
The Mountain,Gorillaz,5,4,,5,2.191509715,1.057852012,,2.034993885,1.76145187,0.614340192
Strictly 4 The Scythe,"Denzel Curry, The Scythe",,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
Nothing's About to Happen to Me,Mitski,2,3,,2,-0.865436957,0.25328851,,-0.605652942,-0.405933797,0.585493357
"Kiss All The Time. Disco, Occasionally",Harry Styles,4,3,,2,1.172527491,0.25328851,,-0.605652942,0.273387686,0.889260589
Jean,Yebba,,4,,3,,1.057852012,,0.274562667,0.66620734,0.553869208
girl music vol. 1,Ty Dolla $ign,,0,,2,,-2.160401996,,-0.605652942,-1.383027469,1.099373599
HELP(2),War Child Records,,3,,4,,0.25328851,,1.154778276,0.704033393,0.637449527
Prizefighter,Mumford & Sons,,1,,2,,-1.355838494,,-0.605652942,-0.980745718,0.530461291
Monica,Jack Harlow,2,2,,1,-0.865436957,-0.551274992,,-1.485868551,-0.967526834,0.475587045
Trying Times,James Blake,3,3,,4,0.153545267,0.25328851,,1.154778276,0.520537351,0.551528188
LK99,Leven Kali,,4,,3,,1.057852012,,0.274562667,0.66620734,0.553869208
Detour,Samara Cyn,3,4,,3,0.153545267,1.057852012,,0.274562667,0.495319982,0.490910396
Jesus loves a primadonna,Nessa Barrett,2,2,,2,-0.865436957,-0.551274992,,-0.605652942,-0.674121631,0.167899988
6WA,"BigXThaPlug, Ro$ama, MurdaGang PB, Yung Hood",4,2,,4,1.172527491,-0.551274992,,1.154778276,0.592010258,0.990153842
ARIRANG,BTS,2,2,2,1,-0.865436957,-0.551274992,-0.544735322,-1.485868551,-0.861828956,0.442127648
HAVE U BN 2 HEAVEN @ NITE?,Kid Cudi,,0,,2,,-2.160401996,,-0.605652942,-1.383027469,1.099373599
R3SET,Mike WiLL Made-It,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
U,underscores,3,4,,4,0.153545267,1.057852012,,1.154778276,0.788725185,0.55221266
THIS MUSIC MAY CONTAIN HOPE,RAYE,5,5,4,4,2.191509715,1.862415514,1.374808193,1.154778276,1.645877924,0.468778641
ALL ROADS LEAD HOME,Central Cee,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
WOR$T GIRL IN AMERICA,Slayyyter,3,4,,3,0.153545267,1.057852012,,0.274562667,0.495319982,0.490910396
$TILL PAID,Jessie Reyez,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
getting up to no good,Artemas,3,2,,2,0.153545267,-0.551274992,,-0.605652942,-0.334460889,0.423499406
ADL,Yeat,2,1,,2,-0.865436957,-1.355838494,,-0.605652942,-0.942309465,0.380954889
Ö,Fcukers,3,3,,5,0.153545267,0.25328851,,2.034993885,0.813942554,1.058636833
Skeletor,Chief Keef,,1,,2,,-1.355838494,,-0.605652942,-0.980745718,0.530461291
BULLY,"Kanye West, Ye",2,0,,1,-0.865436957,-2.160401996,,-1.485868551,-1.503902502,0.647670851
CANDY,Justine Skye,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
Eat The Night,AKOSIA,3,2,,2,0.153545267,-0.551274992,,-0.605652942,-0.334460889,0.423499406
HADES,Melanie Martinez,3,1,,1,0.153545267,-1.355838494,,-1.485868551,-0.896053926,0.911301708
Sexistential,Robyn,1,1,,1,-1.884419181,-1.355838494,,-1.485868551,-1.575375409,0.2754233
Odisea,Los Retros,4,3,,3,1.172527491,0.25328851,,0.274562667,0.566792889,0.524689387
FREE SPIRITS,CA7RIEL & Paco Amoroso,3,3,,4,0.153545267,0.25328851,,1.154778276,0.520537351,0.551528188
Distracted,Thundercat,4,3,,4,1.172527491,0.25328851,,1.154778276,0.860198092,0.525674033
POMPEII // UTILITY,"Earl Sweatshirt, MIKE, SURF GANG",1,1,,2,-1.884419181,-1.355838494,,-0.605652942,-1.281970206,0.642575417
Porcelain,Peach PRC,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
HALO,Tiffany Day,2,4,,2,-0.865436957,1.057852012,,-0.605652942,-0.137745962,1.043533814
Miss Michigan,Momo Boyd,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
Don't Speak,Culture Wars,4,3,,2,1.172527491,0.25328851,,-0.605652942,0.273387686,0.889260589
Floetry The Extension,Millkzy,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
FLOWERING,AKMU,2,3,3,2,-0.865436957,0.25328851,0.415036436,-0.605652942,-0.200691239,0.630105555
Middle Child,Amma,,3,,2,,0.25328851,,-0.605652942,-0.176182216,0.607363325
M.I.7,M.I.A,0,0,0,0,-2.903401405,-2.160401996,-2.464278836,-2.36608416,-2.473541599,0.313298986
Superbloom,Jessie Ware,4,4,,4,1.172527491,1.057852012,,1.154778276,1.128385926,0.061725468
Cruel World,Holly Humberstone,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Torn,Cobrah,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Ambiguous Desire,Arlo Parks,4,2,,3,1.172527491,-0.551274992,,0.274562667,0.298605055,0.8621527
The Nightlife,Honey Dijon,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Kehlani,Kehlani,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
The Great Divide,Noah Kahan,,3,,2,,0.25328851,,-0.605652942,-0.176182216,0.607363325
It's Not That Deep (Unless You Want It To Be),Demi Lovato,3,0,,1,0.153545267,-2.160401996,,-1.485868551,-1.16424176,1.190029759
BLURRY,Ella Boh,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
Big Disgrace,Haute & Freddy,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
Till I Die,Lee Chae Yeon,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Girlfriend,Grace Ives,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
FENIAN,KNEECAP,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
Yo Favorite Trappa Favorite Rappa,Sexyy Red,,,,0,,,,-2.36608416,-2.36608416,#DIV/0!
IT'S BEEN AWFUL,Isaiah Rashad,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
GREENGREEN,CORTIS,4,3,3,3,1.172527491,0.25328851,0.415036436,0.274562667,0.528853776,0.435074868
HABIBTI,Drake,1,1,,0,-1.884419181,-1.355838494,,-2.36608416,-1.868780612,0.505304364
ICEMAN,Drake,2,1,,2,-0.865436957,-1.355838494,,-0.605652942,-0.942309465,0.380954889
MAID OF HONOUR,Drake,1,1,1,3,-1.884419181,-1.355838494,-1.504507079,0.274562667,-1.117550522,0.954390417
REDSTAR WU & THE WORLDWIDE SCOURGE,Genesis Owusu,3,3,,5,0.153545267,0.25328851,,2.034993885,0.813942554,1.058636833
BULLDAWG,Kenny Mason,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
GENESIS FM,BNYX®,2,4,,3,-0.865436957,1.057852012,,0.274562667,0.155659241,0.967141992
深海,Natori,4,4,5,4,1.172527491,1.057852012,2.33457995,1.154778276,1.429934432,0.605199164
Motto,Itzy,2,2,2,2,-0.865436957,-0.551274992,-0.544735322,-0.605652942,-0.641775053,0.151587626
EXPERIMENTAL RAP,JPEGMAFIA,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
"'PUREFLOW', Pt. 1",LE SSERAFIM,2,1,2,2,-0.865436957,-1.355838494,-0.544735322,-0.605652942,-0.842915929,0.369144125
Love is the New Gangsta,6LACK,3,4,3,5,0.153545267,1.057852012,0.415036436,2.034993885,0.9153569,0.837569772
Sulfur Surfer,Bladee,2,2,,3,-0.865436957,-0.551274992,,0.274562667,-0.380716428,0.588827185
Big Mama,Latto,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
Detour,Kim Petras,2,2,,2,-0.865436957,-0.551274992,,-0.605652942,-0.674121631,0.167899988
Papercut,Imani Imani,4,4,,3,1.172527491,1.057852012,,0.274562667,0.834980723,0.488711484
Cry Baby,Vince Staples,3,5,,5,0.153545267,1.862415514,,2.034993885,1.350318222,1.040021612
BITCH,Lizzo,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Do That Again,Malcolm Todd,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
CITY GIRL,gabi belle,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
